Location	Pincode	State	District
A.J.c.bose road	700020	West Bengal	Kolkata
Abinash Chaowdhury lane	700046	West Bengal	Kolkata
Alipore	700027	West Bengal	Kolkata
Alipore Bodyguard line	700027	West Bengal	Kolkata
Alipore Civil court	700027	West Bengal	Kolkata
Alipore Dist board	700027	West Bengal	Kolkata
Asylum Lane	700014	West Bengal	Kolkata
Badartala	700044	West Bengal	Kolkata
Baghajatin	700086	West Bengal	Kolkata
Bakery Road	700022	West Bengal	Kolkata
Ballygunge	700019	West Bengal	Kolkata
Ballygunge Rs	700019	West Bengal	Kolkata
Ballygunge Sc college	700019	West Bengal	Kolkata
Bamboovila	700014	West Bengal	Kolkata
Barabazar	700007	West Bengal	Kolkata
Barisha	700008	West Bengal	Kolkata
Bartala	700018	West Bengal	Kolkata
Behala	700034	West Bengal	Kolkata
Behala Municipal market	700034	West Bengal	Kolkata
Beleghata	700010	West Bengal	Kolkata
Bengal Chemical	700054	West Bengal	Kolkata
Bhawanipore	700025	West Bengal	Kolkata
Bidhangarh	700066	West Bengal	Kolkata
Bijoygarh	700032	West Bengal	Kolkata
Bosepukur Road	700042	West Bengal	Kolkata
Bowbazar	700012	West Bengal	Kolkata
Brace Bridge	700088	West Bengal	Kolkata
Brahma Samaj road	700034	West Bengal	Kolkata
Chetla	700027	West Bengal	Kolkata
Chittaranjan Avenue	700073	West Bengal	Kolkata
Circus Avenue	700017	West Bengal	Kolkata
Cmda Abasan	700054	West Bengal	Kolkata
College Square	700007	West Bengal	Kolkata
Colootola	700073	West Bengal	Kolkata
Council House street	700001	West Bengal	Kolkata
Customs House	700001	West Bengal	Kolkata
Daulatpur	700141	West Bengal	Kolkata
Dhakuria	700031	West Bengal	Kolkata
Dharmatala	700013	West Bengal	Kolkata
Dover Lane	700029	West Bengal	Kolkata
E.K.t	700107	West Bengal	Kolkata
Elliot Road	700016	West Bengal	Kolkata
Esplanade	700069	West Bengal	Kolkata
Fort William	700021	West Bengal	Kolkata
Ganguly Bagan	700047	West Bengal	Kolkata
Garcha Road	700019	West Bengal	Kolkata
Garden Reach	700024	West Bengal	Kolkata
Garfa	700075	West Bengal	Kolkata
Garia Bt	700047	West Bengal	Kolkata
Gariahat Market	700019	West Bengal	Kolkata
Gobinda Khatick road	700046	West Bengal	Kolkata
Gokhel Road	700020	West Bengal	Kolkata
Golf Green	700095	West Bengal	Kolkata
Golpark	700019	West Bengal	Kolkata
Great Eastern hotel	700069	West Bengal	Kolkata
Haltu	700078	West Bengal	Kolkata
Haridevpur	700082	West Bengal	Kolkata
Hastings	700022	West Bengal	Kolkata
Hindustan Building	700072	West Bengal	Kolkata
Hyde Road	700088	West Bengal	Kolkata
Income Tax building	700069	West Bengal	Kolkata
Indrani Park	700033	West Bengal	Kolkata
Intally	700014	West Bengal	Kolkata
Jadavgarh	700078	West Bengal	Kolkata
Jadavpur University	700032	West Bengal	Kolkata
Jairampur	700061	West Bengal	Kolkata
Jayshree Park	700034	West Bengal	Kolkata
Jhowtala	700017	West Bengal	Kolkata
Jodhpur Park	700068	West Bengal	Kolkata
Joramandir	700010	West Bengal	Kolkata
K.C.mills	700024	West Bengal	Kolkata
K.G bose sarani	700085	West Bengal	Kolkata
K.M.hospital	700020	West Bengal	Kolkata
K.P.bazar	700082	West Bengal	Kolkata
K.P.roy lane	700031	West Bengal	Kolkata
Kalabagan	700053	West Bengal	Kolkata
Kalagachia	700063	West Bengal	Kolkata
Kalighat	700026	West Bengal	Kolkata
Kalikapur	700099	West Bengal	Kolkata
Kalimandir	700026	West Bengal	Kolkata
Kalindi Housing estate	700089	West Bengal	Kolkata
Kankurgachi	700054	West Bengal	Kolkata
Kasba	700042	West Bengal	Kolkata
Kasthadanga	700061	West Bengal	Kolkata
Keoratala	700026	West Bengal	Kolkata
Khengrapatti	700001	West Bengal	Kolkata
Khiddirpore	700023	West Bengal	Kolkata
Kolkata Mint	700053	West Bengal	Kolkata
Kolkata University	700073	West Bengal	Kolkata
Kolkatta.	700001	West Bengal	Kolkata
L.R.sarani	700020	West Bengal	Kolkata
Lake Gardens	700045	West Bengal	Kolkata
Lake Market	700029	West Bengal	Kolkata
Lalbazar	700001	West Bengal	Kolkata
Lansdowne Market	700025	West Bengal	Kolkata
Linton Street	700014	West Bengal	Kolkata
Little Russel street	700071	West Bengal	Kolkata
Madrassa	700016	West Bengal	Kolkata
Mahendra Banerjee road	700060	West Bengal	Kolkata
Mansatala	700023	West Bengal	Kolkata
